PostalCode,Neighborhood,District,Latitude,Longitude
400029,A I staff colony,Mumbai,19.15162244816581,72.85498103682772
400065,Aareymilk Colony,Mumbai,19.180136292367155,72.90881206880297
400011,Agripada,Mumbai,18.9387711,72.8353355
400099,Airport,Mumbai,19.1030656,72.8635601180166
400004,Ambewadi,Mumbai,18.9387711,72.8353355
400053,Andheri,Mumbai,19.144419550000002,72.82661210819862
400069,Andheri East,Mumbai,19.130181654802666,72.8530796168885
400058,Andheri Railway station,Mumbai,19.12573235,72.84267477586994
400037,Antop Hill,Mumbai,18.9387711,72.8353355
400005,Asvini,Mumbai,18.9387711,72.8353355
400053,Azad Nagar,Mumbai,19.144419550000002,72.82661210819862
400003,B P t colony,Mumbai,18.9387711,72.8353355
400051,B.N. bhavan,Mumbai,19.05821285,72.85176641447369
400003,B.P.lane,Mumbai,18.9387711,72.8353355
400050,Bandra West,Mumbai,18.9387711,72.8353355
400051,Bandra(east),Mumbai,19.05821285,72.85176641447369
400090,Bangur Nagar,Mumbai,,
400001,Bazargate,Mumbai,18.9387711,72.8353355
400012,Best Staff colony,Mumbai,18.9387711,72.8353355
400007,Bharat Nagar,Mumbai,18.9658877,72.81479742587862
400028,Bhawani Shankar,Mumbai,18.9387711,72.8353355
400028,Bhawani Shankar rd,Mumbai,18.9387711,72.8353355
400091,Borivali,Mumbai,19.23014206960739,72.83760735114791
400066,Borivali East,Mumbai,19.229007442724786,72.86207247076649
400092,Borvali West,Mumbai,19.2061608,72.7852955
400013,C G s colony,Mumbai,18.9387711,72.8353355
400020,Central Building,Mumbai,18.9387711,72.8353355
400030,Century Mill,Mumbai,18.9387711,72.8353355
400093,Chakala Midc,Mumbai,19.1217752,72.8637528
400012,Chamarbaug,Mumbai,18.9387711,72.8353355
400067,Charkop,Mumbai,19.20772265,72.8373895553008
400004,Charni Road,Mumbai,18.9387711,72.8353355
400004,Chaupati,Mumbai,18.9387711,72.8353355
400009,Chinchbunder,Mumbai,18.9387711,72.8353355
400011,Chinchpokli,Mumbai,18.9387711,72.8353355
400020,Churchgate,Mumbai,18.9387711,72.8353355
400005,Colaba,Mumbai,18.9387711,72.8353355
400033,Cotton Exchange,Mumbai,18.9387711,72.8353355
400026,Cumballa Hill,Mumbai,18.9387711,72.8353355
400026,Cumballa Sea face,Mumbai,18.9387711,72.8353355
400014,Dadar,Mumbai,18.9387711,72.8353355
400014,Dadar Colony,Mumbai,18.9387711,72.8353355
400068,Dahisar,Mumbai,19.24915135430287,72.8595244376986
400068,Dahisar Rs,Mumbai,19.24915135430287,72.8595244376986
400052,Danda,Mumbai,19.07664623631676,72.83315059360132
400066,Daulat Nagar,Mumbai,19.229007442724786,72.86207247076649
400013,Delisle Road,Mumbai,18.9387711,72.8353355
400017,Dharavi,Mumbai,19.0452991125,72.855320975
400017,Dharavi Road,Mumbai,19.0452991125,72.855320975
400010,Dockyard Road,Mumbai,18.968523349999998,72.83784382819263
400026,Dr Deshmukh marg,Mumbai,18.9387711,72.8353355
400008,Falkland Road,Mumbai,18.9387711,72.8353355
400004,Girgaon,Mumbai,18.9387711,72.8353355
400028,Gokhale Road,Mumbai,18.9387711,72.8353355
400062,Goregaon,Mumbai,19.16146535,72.84846422531919
400063,Goregaon East,Mumbai,19.169075685002678,72.855738256095
400062,Goregaon Rs,Mumbai,19.16146535,72.84846422531919
400051,Government Colony,Mumbai,19.05821285,72.85176641447369
400026,Gowalia Tank,Mumbai,18.9387711,72.8353355
400007,Grant Road,Mumbai,18.9658877,72.81479742587862
400058,H.M.p. school,Mumbai,19.12573235,72.84267477586994
400012,Haffkin Institute,Mumbai,18.9387711,72.8353355
